date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-08-2023,Andaman & Nicobar Island,2-Wheelers,0,477
01-08-2023,Arunachal Pradesh,2-Wheelers,0,1292
01-08-2023,Ladakh,2-Wheelers,0,63
01-08-2023,Ladakh,4-Wheelers,0,278
01-08-2023,Mizoram,4-Wheelers,0,410
01-08-2023,Nagaland,2-Wheelers,0,592
01-08-2023,Nagaland,4-Wheelers,0,760
01-09-2023,Andaman & Nicobar Island,2-Wheelers,0,379
01-09-2023,Arunachal Pradesh,2-Wheelers,0,1274
01-09-2023,Ladakh,2-Wheelers,0,40
01-09-2023,Ladakh,4-Wheelers,0,211
01-09-2023,Manipur,2-Wheelers,0,426
01-09-2023,Manipur,4-Wheelers,0,239
01-09-2023,Mizoram,4-Wheelers,0,415
01-09-2023,Nagaland,4-Wheelers,0,654
01-10-2023,Arunachal Pradesh,2-Wheelers,0,1281
01-10-2023,Ladakh,2-Wheelers,0,33
01-10-2023,Ladakh,4-Wheelers,0,187
01-10-2023,Mizoram,4-Wheelers,0,453
01-10-2023,Nagaland,2-Wheelers,0,471
01-10-2023,Nagaland,4-Wheelers,0,743
01-11-2023,Arunachal Pradesh,2-Wheelers,0,1458
01-11-2023,Ladakh,2-Wheelers,0,39
01-11-2023,Ladakh,4-Wheelers,0,166
01-11-2023,Mizoram,4-Wheelers,0,531
01-12-2023,Ladakh,2-Wheelers,0,7
01-12-2023,Ladakh,4-Wheelers,0,144
01-12-2023,Mizoram,4-Wheelers,0,568
01-12-2023,Nagaland,2-Wheelers,0,421
01-12-2023,Nagaland,4-Wheelers,0,562
01-01-2024,Arunachal Pradesh,2-Wheelers,0,995
01-01-2024,Nagaland,2-Wheelers,0,505
01-01-2024,Ladakh,4-Wheelers,0,141
01-01-2024,Andaman & Nicobar,4-Wheelers,0,177
01-01-2024,Nagaland,4-Wheelers,0,877
01-02-2024,Arunachal Pradesh,2-Wheelers,0,1117
01-02-2024,Nagaland,2-Wheelers,0,763
01-02-2024,Ladakh,2-Wheelers,0,4
01-02-2024,Mizoram,4-Wheelers,0,494
01-02-2024,Ladakh,4-Wheelers,0,47
01-03-2024,Arunachal Pradesh,2-Wheelers,0,1259
01-03-2024,Ladakh,2-Wheelers,0,11
01-03-2024,Mizoram,4-Wheelers,0,463
01-03-2024,Nagaland,4-Wheelers,0,1336
01-03-2024,Ladakh,4-Wheelers,0,81
01-04-2021,DNH and DD,2-Wheelers,1,657
01-04-2021,Himachal Pradesh,4-Wheelers,1,3544
01-04-2021,Meghalaya,4-Wheelers,1,930
01-05-2021,Chandigarh,4-Wheelers,1,413
01-05-2021,Haryana,4-Wheelers,1,4373
01-05-2021,Himachal Pradesh,4-Wheelers,1,1503
01-05-2021,Jharkhand,4-Wheelers,1,2290
01-05-2021,Madhya Pradesh,2-Wheelers,1,6302
01-05-2021,Meghalaya,4-Wheelers,1,88
01-06-2021,Assam,4-Wheelers,1,3842
01-06-2021,DNH and DD,4-Wheelers,1,234
01-06-2021,Himachal Pradesh,4-Wheelers,1,3193
01-06-2021,Jammu and Kashmir,4-Wheelers,1,4469
01-06-2021,Tripura,2-Wheelers,1,1523
01-07-2021,Jammu and Kashmir,4-Wheelers,1,5336
01-07-2021,Meghalaya,4-Wheelers,1,759
01-08-2021,Andaman & Nicobar Island,4-Wheelers,1,110
01-08-2021,Puducherry,4-Wheelers,1,837
01-09-2021,DNH and DD,2-Wheelers,1,666
01-09-2021,Himachal Pradesh,4-Wheelers,1,3379
01-09-2021,Jammu and Kashmir,4-Wheelers,1,3773
01-09-2021,Nagaland,2-Wheelers,1,578
01-10-2021,Andaman & Nicobar Island,4-Wheelers,1,70
01-10-2021,DNH and DD,2-Wheelers,1,628
01-10-2021,DNH and DD,4-Wheelers,1,333
01-10-2021,Himachal Pradesh,4-Wheelers,1,3201
01-11-2021,DNH and DD,2-Wheelers,1,938
01-11-2021,Puducherry,4-Wheelers,1,532
01-12-2021,Andaman & Nicobar Island,4-Wheelers,1,122
01-12-2021,DNH and DD,4-Wheelers,1,336
01-12-2021,Himachal Pradesh,4-Wheelers,1,4105
01-12-2021,Tripura,2-Wheelers,1,3579
01-02-2022,DNH and DD,4-Wheelers,1,354
01-02-2022,Meghalaya,4-Wheelers,1,917
01-03-2022,DNH and DD,4-Wheelers,1,355
01-04-2022,Andaman & Nicobar Island,4-Wheelers,1,147
01-04-2022,DNH and DD,4-Wheelers,1,431
01-04-2022,Manipur,2-Wheelers,1,1246
01-04-2022,Manipur,4-Wheelers,1,813
01-04-2022,Meghalaya,4-Wheelers,1,860
01-05-2022,DNH and DD,4-Wheelers,1,374
01-05-2022,Mizoram,2-Wheelers,1,1638
01-05-2022,Nagaland,2-Wheelers,1,514
01-06-2022,DNH and DD,2-Wheelers,1,767
01-06-2022,Meghalaya,4-Wheelers,1,1087
01-07-2022,Arunachal Pradesh,4-Wheelers,1,947
01-07-2022,Ladakh,4-Wheelers,1,285
01-07-2022,Mizoram,2-Wheelers,1,1427
01-08-2022,DNH and DD,4-Wheelers,1,303
01-09-2022,DNH and DD,4-Wheelers,1,390
